###############################
COMPAS, FULL, PURE_RUN, 10000000, CTE, NON-MATERIALIZED, Pandas, 58086.021562001406, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

###############################
COMPAS, FULL, PURE_RUN, 100, VIEW, NON-MATERIALIZED, Umbra, 1.918, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, FULL, PURE_RUN, 1000, VIEW, NON-MATERIALIZED, Umbra, 8.882, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, FULL, PURE_RUN, 10000, VIEW, NON-MATERIALIZED, Umbra, 10.508, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, FULL, PURE_RUN, 100000, VIEW, NON-MATERIALIZED, Umbra, 48.021, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, FULL, PURE_RUN, 1000000, VIEW, NON-MATERIALIZED, Umbra, 838.628, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, FULL, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, Umbra, 8285.284, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

COMPAS, FULL, PURE_RUN, 100, VIEW, MATERIALIZED, PostgreSQL, 1.6736984252929688, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, FULL, PURE_RUN, 1000, VIEW, MATERIALIZED, PostgreSQL, 2.599954605102539, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, FULL, PURE_RUN, 10000, VIEW, MATERIALIZED, PostgreSQL, 15.259027481079102, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, FULL, PURE_RUN, 100000, VIEW, MATERIALIZED, PostgreSQL, 85.54649353027344, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, FULL, PURE_RUN, 1000000, VIEW, MATERIALIZED, PostgreSQL, 1336.6708755493164, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, FULL, PURE_RUN, 10000000, VIEW, MATERIALIZED, PostgreSQL, 10093.598127365112, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
